Ticker,Year,First_Close,Last_Close,Difference,Dividends,Growth (%)
2800.HK,2021,23.82997,20.79711,-3.0328599999999994,0.67,-9.92
2800.HK,2022,20.691,18.32262,-2.3683799999999984,0.64,-8.35
2800.HK,2023,18.63535,16.3894,-2.2459500000000006,0.65,-8.56
2800.HK,2024,16.15105,20.0405,3.88945,0.77,28.85
