Ticker,Name,Year,Sector,Market Cap (B HKD),Revenue (B HKD),EPS (HKD),First_Close,Last_Close,Close_Difference,Dividends,Growth (%),ROA (%),PE_Ratio
1877.HK,JUNSHI BIO,2021,Healthcare,27.512694784,4.4273251,-0.8800000000000001,55.8,58.0,2.200000000000003,0.0,3.94,-3.07,
0338.HK,SHANGHAI PECHEM,2021,Energy,27.091120128,98.20845650000001,0.2035,1.46014,1.64886,0.18872,0.121,21.21,10.08,8.102506142506144
0772.HK,CHINA LIT,2021,Communication Services,26.983176192,9.5350684,2.0130000000000003,60.0,49.0,-11.0,0.0,-18.33,13.51,24.34177844013909
0548.HK,SHENZHENEXPRESS,2021,Industrials,26.866599936,11.978538679667999,1.2243000000000002,5.34465,5.89939,0.5547400000000007,0.518473,20.08,9.22,4.818582046883933
3866.HK,BQD,2021,Financial Services,26.761048064,11.485122,0.561,3.53385,3.72689,0.1930399999999998,0.211013,11.43,9.99,6.643297682709447
1357.HK,MEITU,2021,Communication Services,26.670032896,1.8326319,-0.011,1.4632,1.48233,0.0191299999999998,0.0,1.31,1.71,
1066.HK,WEIGAO GROUP,2021,Healthcare,26.65391104,14.529836200000002,0.561,15.81409,9.15805,-6.656040000000001,0.175,-40.98,13.51,16.324509803921565
3360.HK,FE HORIZON,2021,Financial Services,26.361298944,36.0415231,1.4960000000000002,5.26567,4.89046,-0.37521,0.36,-0.29,4.05,3.2690240641711226
9995.HK,REMEGEN,2021,Healthcare,26.29220352,1.5662922000000001,0.627,103.4,77.75,-25.65000000000001,0.0,-24.81,10.63,124.00318979266348
1070.HK,TCL ELECTRONICS,2021,Technology,25.813399552,74.846888,0.4926,5.11049,3.64752,-1.4629700000000003,0.115,-26.38,5.0,7.404628501827041
2602.HK,ONEWO,2021,Real Estate,25.511626752,26.074992900000005,1.5717185000000002,,,,0.0,,10.42,
1044.HK,HENGAN INT'L,2021,Consumer Defensive,25.454860288,22.8691584,3.0646000000000004,45.37029,34.49167,-10.878619999999998,2.758322,-17.9,14.69,11.254868498335833
2587.HK,HEALTHYWAY INC,2021,Healthcare,25.45344512,0.47443550000000007,-0.197043,,,,0.0,,-123.97,
9688.HK,ZAI LAB,2021,Healthcare,25.161693184,1.1256336,-5.9124,104.5,50.6,-53.9,0.0,-51.58,-42.83,
3900.HK,GREENTOWN CHINA,2021,Real Estate,24.75981824,110.26407040000001,1.4410000000000005,8.8319,10.5865,1.7546,0.379435,24.16,3.27,7.346634281748782
0148.HK,KINGBOARD HLDG,2021,Industrials,24.659898368,56.755274,9.729,26.61751,31.63469,5.01718,1.56,24.71,17.14,3.2515870079144826
6655.HK,HUAXIN CEMENT,2021,Basic Materials,24.539170816,35.7104917169,2.8380000000000005,,,,0.0,,20.5,
0371.HK,BJ ENT WATER,2021,Utilities,24.468563968,25.068020698990523,0.3724215,2.35868,2.43663,0.0779499999999999,0.1679999999999999,10.43,6.28,6.542667380911145
9889.HK,DRCB,2021,Financial Services,24.454350848,14.239357000000002,1.023,7.08194,6.48105,-0.6008900000000006,0.0,-8.48,15.58,6.33533724340176
2386.HK,SINOPEC SEG,2021,Industrials,24.123938816,63.53554900000001,0.528,2.33667,2.77034,0.4336700000000002,0.3120267,31.91,5.35,5.246856060606061
6055.HK,CTIHK,2021,Consumer Defensive,24.03588096,8.0641159,1.02,14.10411,14.71669,0.6125799999999995,0.04,4.63,17.7,14.428127450980393
3933.HK,UNITED LAB,2021,Healthcare,23.984795648,10.6737818,0.5907000000000001,4.72059,3.95004,-0.7705499999999996,0.144903,-13.25,12.69,6.687049263585575
2518.HK,AUTOHOME-S,2021,Communication Services,23.85457152,7.960704400000001,4.73,176.6913,55.31419,-121.37711000000002,0.0,-68.69,8.57,11.694331923890063
0425.HK,MINTH GROUP,2021,Consumer Cyclical,23.708745728,15.311195900000001,1.4289,37.83005,32.3178,-5.512250000000002,0.572,-13.06,11.25,22.61725803065295
0142.HK,FIRST PACIFIC,2021,Consumer Defensive,23.50570496,71.00496,0.60216,1.8074,2.33897,0.5315700000000003,0.1995,40.45,7.74,3.8842998538594395
3939.HK,WANGUO GOLD GP,2021,Basic Materials,23.46491904,2.2158345,0.2629,1.87925,1.65018,-0.2290700000000001,0.0356,-10.3,16.51,6.27683529859262
0347.HK,ANGANG STEEL,2021,Basic Materials,23.408648192,149.732,0.8140000000000001,2.9601,3.20448,0.24438,0.101,11.67,15.07,3.9367076167076167
3677.HK,ZENERGY,2021,,23.379218432,12.863959680000002,-1.3759317000000002,,,,0.0,,-2.68,
0522.HK,ASMPT,2021,Technology,23.258118144,21.947637,7.72,85.16461,75.67508,-9.489530000000002,3.3,-7.27,18.59,9.802471502590674
3800.HK,GCL TECH,2021,Technology,23.236763648,18.5552158,0.22748,1.24065,2.7008,1.46015,0.0,117.69,14.53,11.872692104800423
6979.HK,ZJLD,2021,Consumer Defensive,22.805413888,5.6117523,0.3470808,,,,0.0,,21.9,
1551.HK,GRCB,2021,Financial Services,22.767484928,24.413200900000003,0.286,2.88709,3.04974,0.1626499999999997,0.24281,14.04,14.29,10.663426573426573
6098.HK,CG SERVICES,2021,Real Estate,22.701549568,31.727312100000002,1.4126200000000002,46.22478,42.34214,-3.882640000000002,0.2658,-7.82,11.52,29.974189803344135
0968.HK,XINYI SOLAR,2021,Technology,22.605340672,14.444296296649423,0.5003691,18.35279,12.02914,-6.323649999999999,0.34,-32.6,17.68,24.040533278333932
0257.HK,EB ENVIRONMENT,2021,Industrials,22.421878784,49.895384,1.1076,3.39987,5.05985,1.65998,0.35,59.12,7.41,4.568300830624775
6993.HK,BLUE MOON GROUP,2021,Consumer Defensive,22.279780352,7.597481,0.1749,15.12018,6.64102,-8.47916,0.069,-55.62,10.48,37.970383076043454
1548.HK,GENSCRIPT BIO,2021,Healthcare,22.12420608,3.8227488,-1.37826,11.2,34.5,23.3,0.0,208.04,-20.91,
0323.HK,MAANSHAN IRON,2021,Basic Materials,21.996945408,125.2363083169,0.7616400000000001,1.80963,2.42235,0.6127199999999997,0.156053,42.48,13.15,3.1804395777532686
6682.HK,FOURTH PARADIGM,2021,Technology,21.778180096,2.2202389,-4.2715871000000005,,,,0.0,,-18.46,
2096.HK,SIMCERE PHARMA,2021,Healthcare,21.579384832,5.4996898,0.638,7.99232,8.44401,0.4516900000000001,0.18031,7.91,18.67,13.23512539184953
2696.HK,HENLIUS,2021,Healthcare,21.522399232,1.8507192,-2.0130000000000003,44.95,22.05,-22.9,0.0,-50.95,-10.3,
1258.HK,CHINFMINING,2021,Basic Materials,21.461221376,31.5945864,0.76284,1.78289,2.59841,0.8155199999999998,0.111245,51.98,25.32,3.40623197525038
2495.HK,VOICECOMM,2021,Technology,21.243471872,0.5059285000000001,1.1456489,,,,0.0,,10.11,
2099.HK,CHINAGOLDINTL,2021,Basic Materials,21.109047296,8.8713768,5.26032,11.23685,20.66118,9.42433,0.93773997,92.22,15.91,3.927742038507163
9969.HK,INNOCARE,2021,Healthcare,20.942508032,1.1473363,-0.055,13.74,15.3,1.5600000000000005,0.0,11.35,0.24,
0053.HK,GUOCO GROUP,2021,Industrials,20.894738432,10.2993306,7.721999999999999,81.32415,74.46891,-6.855240000000009,2.0,-5.97,3.71,9.64373348873349
0525.HK,GUANGSHEN RAIL,2021,Industrials,20.83360768,22.2267724613,-0.154,1.36006,1.28289,-0.0771699999999999,0.0,-5.67,1.98,
6869.HK,YOFC,2021,Technology,20.818806784,10.4896831358,1.034,8.94447,11.30205,2.3575799999999987,0.262,29.29,7.0,10.930415860735009
6110.HK,TOPSPORTS,2021,Consumer Cyclical,20.402014208,39.6099,0.49137,9.5583,6.44752,-3.110779999999999,0.2998,-29.41,42.01,13.12151739015406
0867.HK,CMS,2021,Healthcare,20.101726208,9.1709431,1.3450800000000005,7.47239,11.12591,3.65352,0.56,56.39,25.78,8.271560055907452
1415.HK,COWELL,2021,Technology,19.961966592,6.2344698,0.4679999999999999,5.82,13.14,7.32,0.0,125.77,14.89,28.076923076923084
0579.HK,JNCEC,2021,Utilities,19.951716352,20.5097805,0.33737,1.99665,2.07281,0.07616,0.08283,7.96,9.95,6.144025846992916
2570.HK,REFIRE,2021,Industrials,19.743125504,0.5765199,-7.314689800000001,,,,0.0,,-22.66,
2419.HK,DEKON AGR,2021,Consumer Defensive,19.521574912,10.8917226,-8.4783743,,,,0.0,,-15.99,
2400.HK,XD INC,2021,Communication Services,19.52132096,2.9734903000000004,-2.0460000000000003,58.3,39.5,-18.8,0.0,-32.25,-15.9,
1910.HK,SAMSONITE,2021,Consumer Cyclical,19.33517824,15.76224,0.078,13.86896,15.31969,1.45073,0.0,10.46,5.9,196.40628205128203
